id,name,phone,email,city,joined,amount,notes
1001,Fayan Muyan,081104862359,fayan.muyan@mail.example.com,Mataram,2026-03-28,214952.07,
1002,Kanto Yawan,081210150431,kanto.yawan@example.org,Mataram,2023-01-01,16504.10,
1003,Taman Purah,082122026178,taman.purah@post.example.net,Surabaya,2023-11-22,69949.97,
1004,Jugus Yawan,081794258676,jugus.yawan@example.com,Mataram,2025-09-12,213127.88,
1005,Julia Zudi,082125477809,julia.zudi@example.com,Surabaya,2026-02-08,16612.43,
1006,Surah Puman,081308449741,surah.puman@mail.example.com,Semarang,2024-04-28,85714.75,
1007,Yasih Fawati,081804312790,yasih.fawati@example.net,Surabaya,2025-07-18,175417.99,"VIP, do not discount"
1008,Inlia Ansih,081190992865,inlia.ansih@mail.example.com,Mataram,2024-06-12,159894.07,"wants invoice marked ""urgent"""
1009,Lorah Ciwati,081830161313,lorah.ciwati@example.net,Mataram,2025-02-21,175149.41,
1010,Lorah Zuwati,081770273915,lorah.zuwati@post.example.net,Mataram,2025-09-12,19137.27,
1011,Anman Katri,081386901285,anman.katri@example.net,Surabaya,2026-06-10,214636.35,
1012,Yatri Ingus,081172686315,"yatri.ingus@example.net ",Mataram,2024-08-18,247649.25,
1013,Rigus Deman,089504724116,rigus.deman@post.example.net,Mataram,2024-08-02,217632.19,
1014," Putri Jugus",081310855351,putri.jugus@post.example.net,Mataram,2024-03-11,72427.11,
1015,Gidi Nayan,082167365999,gidi.nayan@post.example.net,Mataram,2023-10-25,32276.92,
1016,Rirah  Delia,0817 6013 6813,rirah.delia@example.org,Bandung,2023-10-01,107930.91,
1017,Punur Juman,089572749893,punur.juman@mail.example.com,Mataram,2026-04-02,25442.83,
1018,Tawan Kasih,081785657204,tawan.kasih@mail.example.com,Medan,2024-12-03,50071.50,
1019,Inlia Muyan,081807717738,inlia.muyan@post.example.net,Surabaya,2024-12-13,200197.23,
1020,Pundra Fadi,081795101895,pundra.fadi@example.net,Surabaya,2025-12-01,230316.35,
1021,Rinur Degus,081240633608,rinur.degus@example.com,Makassar,2026-05-05,114609.05,
1022,Anwati Anrah,081794092250,anwati.anrah@mail.example.com,Mataram,20/03/2026,"194.088,64",
1023,Mugus Gigus,0813-9920-5481,"mugus.gigus@example.com ",Mataram,28/04/2024,139988.85,
1024,Budi Pudi,081838204473,budi.pudi@post.example.net,Mataram,2023-01-27,84274.35,
1025,Hadi Tanto,085141585313,hadi.tanto@post.example.net,Mataram,2026-04-16,97754.45,
1026,Ciman Insih,081357379866,ciman.insih@example.org,Semarang,2024-04-06,24562.65,
1027,Annur Sudi,081192647145,annur.sudi@mail.example.com,Mataram,2025-03-28,51448.95,
1028,Sulia Andi,089518599011,sulia.andi@example.org,Mataram,2023-04-13,202637.43,
1029,Nanur Sunto,0895 4932 9453,nanur.sunto@mail.example.com,Surabaya,15.10.2024,91823.58,
1030,Junto Muwan,081234213252,junto.muwan@example.com,Mataram,2026-01-21,229678.69,
1031,Cidi Kawan,082157974201,cidi.kawan@example.org,Mataram,2024-05-10,119510.88,
1032,Gitri Wisih,081804634172,gitri.wisih@example.com,Mataram,2024-05-22,17720.90,
1033,Zunto Harah,085114448524,zunto.harah@example.com,Bandung,2026-04-26,106381.72,"prefers WhatsApp, not email"
1034,Juwati Rinto,0811 3903 0331,,Mataram,08.10.2023,17397.26,"moved cities, update on renewal"
1035,Losih  Namad,081348097028,losih.namad@example.com,Mataram,21/08/2026,81371.61,
1036,Inndra Wigus,081802429191,inndra.wigus@example.org,Surabaya,2023-01-17,66281.63,
1037,Yanto Juyan,089553501347,yanto.juyan@example.org,Mataram,2025-05-12,130084.60,
1038,Fayan Tarah,0851 7364 9058,fayan.tarah@example.net,Mataram,2023-12-05,197615.54,
1039,Lowati Tarah,081140785156,lowati.tarah@example.net,Denpasar,2026-08-07,148186.56,
1040,Ansih Junto,081375786378,,Bandung,2025-08-12,101820.98,
1041,Namad Tanto,081837783802,namad.tanto@example.org,Mataram,2024-12-26,139542.50,
1042,Hadi Farah,081372479607,hadi.farah@example.net,Bandung,2026-07-10,209386.25,
1043,Bugus Windra,081203953924,bugus.windra@mail.example.com,Medan,2026-07-01,190741.17,
1044,Nadi Pundra,085185615424,nadi.pundra@example.net,Medan,2025-04-11,90800.94,
1045,Yadi Bunto,089515283244,yadi.bunto@example.org,Makassar,2023-03-10,179092.62,
1046,Annto Anwati,081296646578,annto.anwati@example.net,Denpasar,2023-06-12,226795.36,
1047,Jugus Jusih,081344650323,jugus.jusih@example.net,Bandung,07/10/2024,97415.24,
